,Link,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Title,Address,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Check,Mặt tiền,Đường vào,Hướng ban công
0,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-ngu-lao-phuong-3-20/ban-dep-khu-pho-an-ninh-41-12-p-3-go-vap-pr41422117,"156,1 m²","25,5 tỷ",Đông - Nam,5 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,"Bán nhà đẹp khu phố an ninh 41/12 Phạm Ngũ Lão, P. 3, Gò Vấp","41/12, Đường Phạm Ngũ Lão, Phường 3, Gò Vấp, Hồ Chí Minh",05/11/2024,12/11/2024,Tin VIP Kim Cương,41422117,Chưa Xác Thực,7 m,10 m,Đông - Nam
1,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-van-thu-phuong-9-12/ban-32m2-2-mat-tien-tai-phu-nhuan-gia-6-85-ty-4-pn-3-pt-pr41427152,32 m²,"6,85 tỷ",,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán nhà 2 mặt tiền hẻm đường Hoàng Văn Thụ Phú Nhuận, giá 6,85 tỷ, 4 PN, 3 PT","Đường Hoàng Văn Thụ, Phường 9, Phú Nhuận, Hồ Chí Minh",05/11/2024,12/11/2024,Tin VIP Kim Cương,41427152,Chưa Xác Thực,4 m,4 m,
2,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-do-xuan-hop-phuong-an-phu-prj-the-global-city/full-gio-hang-chuyen-nhuong-t6-2024-pho-gia-tot-t-thi-truong-31-5-ty-pr40315272,95 m²,34 tỷ,Đông - Nam,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Cập nhật giỏ hàng chuyển nhượng - Nhà phố The Global City T11/2024 nhiều vị trí đẹp - Giá từ 34 tỷ,"Dự án The Global City, Đường Đỗ Xuân Hợp, Phường An Phú, Quận 2, Hồ Chí Minh",04/11/2024,19/11/2024,Tin VIP Kim Cương,40315272,Chưa Xác Thực,5 m,14 m,Đông - Nam
3,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-kiem-phuong-3-20/hem-xe-tai-sat-mat-tien-moi-vao-o-ngay-vua-o-vua-co-dong-tien-doi-dien-bv-175-pr41204381,114 m²,"13,8 tỷ",,3 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hẻm xe tải - sát mặt tiền - nhà mới vào ở ngay - vừa ở vừa có dòng tiền - đối diện BV 175,"Đường Nguyễn Kiệm, Phường 3, Gò Vấp, Hồ Chí Minh",14/10/2024,13/11/2024,Tin thường,41204381,TIN XÁC THỰC,8 m,6 m,
4,https://batdongsan.com.vn/ban-nha-rieng-duong-me-coc-phuong-15-2/ban-gap-sat-cho-khu-an-ninh-no-hau-ho-tro-vay-bank-pr41284902,"39,1 m²","2,6 tỷ",,2 tầng,,,Sổ hồng,,"Bán gấp nhà Mễ Cốc, sát chợ, khu an ninh, nở hậu, hỗ trợ vay bank","Đường Mễ Cốc, Phường 15, Quận 8, Hồ Chí Minh",29/10/2024,08/11/2024,Tin thường,41284902,TIN XÁC THỰC,,,
5,https://batdongsan.com.vn/ban-nha-rieng-phuong-6-13/ban-tai-6-binh-thanh-2ty390-19-8m2-1pn-1pt-huong-dong-gia-con-thuong-luong-pr41429597,"19,8 m²","2,39 tỷ",Đông,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,"Bán nhà riêng tại phường 6, Bình Thạnh, 2tỷ390, 19,8m2, 1PN, 1PT, hướng Đông giá còn thương lượng","Phường 6, Bình Thạnh, Hồ Chí Minh",05/11/2024,15/11/2024,Tin thường,41429597,TIN XÁC THỰC,3 m,4 m,Đông
6,https://batdongsan.com.vn/ban-nha-rieng-duong-no-trang-long-phuong-13-7/hop-dong-thue-khoan-50tr-5-tang-hem-xe-hoi-thang-rach-xuyen-tam-gia-11-9-ty-pr41149057,"88,7 m²","11,9 tỷ",,5 tầng,11 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Hợp đồng thuê khoán 50tr, nhà 5 tầng, hẻm xe hơi thẳng rạch xuyên tâm Nơ Trang Long, giá 11.9 tỷ","Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",06/11/2024,16/11/2024,Tin thường,41149057,TIN XÁC THỰC,,,
7,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-vo-chi-cong-phuong-phu-huu-2-prj-the-classia/mua-truc-tiep-cdt-khang-dien-chiet-khau-cao-dt-7x19m-7x20m-co-san-vuon-rong-gia-tot-nhat-du-an-pr39244866,133 m²,"23,6 tỷ",Đông - Nam,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Không nội thất.,Cần bán gấp bán gấp căn sân vườn 7x19m trục đường 16m. Hướng Đông Nam cực kỳ đẹp,"Dự án The Classia, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",30/10/2024,09/11/2024,Tin thường,39244866,TIN XÁC THỰC,7 m,16 m,Đông - Nam
8,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-vo-chi-cong-phuong-phu-huu-2-prj-the-classia/nh-chu-gui-ban-can-gia-thap-nhat-du-an-hien-nay-dien-tich-5x19m-gia-15-4-ty-pr39396373,95 m²,"16,5 tỷ",Đông - Nam,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,Chính chủ gửi bán căn The Classia giá thấp nhất. Diện tích 5x19m giá chỉ 16.5 tỷ. Trục đường 16m,"Dự án The Classia, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",03/11/2024,13/11/2024,Tin thường,39396373,TIN XÁC THỰC,,16 m,Đông - Nam
9,https://batdongsan.com.vn/ban-nha-rieng-pho-pham-huy-thong-phuong-7-10/biet-thu-khu-vip-ngang-7m-p7-gv-dt-7x15m-cn-105m2-tret-3-lau-st-gia-17-5-ty-pr40933355,105 m²,"17,5 tỷ",Tây - Bắc,5 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Biệt thự khu vip ngang 7m Phạm Huy Thông P7 GV dt 7x15m cn 105m2 trệt 3 lầu st giá 17.5 tỷ,"Đường Phạm Huy Thông, Phường 7, Gò Vấp, Hồ Chí Minh",06/11/2024,16/11/2024,Tin thường,40933355,TIN XÁC THỰC,7 m,10 m,
10,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-dinh-tuy-phuong-12-7/ban-cu-xa-cong-an-10m-thong-thoang-sat-mat-tien-vi-tri-trung-tam-gia-11-5-ty-pr40882980,72 m²,"10,5 tỷ",Bắc,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Bán nhà cư xá công an - đường 10m thông thoáng sát mặt tiền - vị trí trung tâm - giá 10.5 tỷ,"Đường Bùi Đình Túy, Phường 12, Bình Thạnh, Hồ Chí Minh",06/11/2024,16/11/2024,Tin thường,40882980,TIN XÁC THỰC,,10 m,
11,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-sy-phuong-14-1/giam-manh-40-ty-ve-34-ty-toa-ngay-mat-tien-p14-quan-3-8-x17-8m-4-lau-hdt-cao-pr41185141,143 m²,34 tỷ,,4 tầng,,,,,"Giảm mạnh 40 tỷ về 34 tỷ tòa nhà ngay mặt tiền Lê Văn Sỹ, P14, Quận 3.( 8 X17,8m ) 4 lầu HĐT Cao","Đường Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh",01/11/2024,11/11/2024,Tin thường,41185141,TIN XÁC THỰC,,,
12,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-huy-ich-phuong-14-8/chinh-chu-ban-f12-go-vap-sat-sieu-thi-emart-dt-4-6-x17-tret-lung-3-lau-pr41412919,72 m²,"9,5 tỷ",,4 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Chính chủ bán nhà đường Phan Huy ích P12 Gò Vấp. Sát siêu thị Emart DT: 4.6x17m trệt lửng 3 lầu,"Đường Phan Huy Ích, Phường 14, Gò Vấp, Hồ Chí Minh",03/11/2024,10/11/2024,Tin VIP Kim Cương,41412919,Chưa Xác Thực,,8 m,
13,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-chieu-phuong-14-8/sieu-ngang-5m-sat-mat-tien-p-14-go-vapdt-5x12-tret-1lung-3lau-chi-8ty9-pr41410567,60 m²,"8,9 tỷ",Đông - Nam,4 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Siêu phẩm ngang 5m sát mặt tiền đường Phạm Văn Chiêu P. 14 Gò Vấp DT: 5x12 trệt 1lửng 3lầu chỉ 8tỷ9,"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",03/11/2024,10/11/2024,Tin VIP Kim Cương,41410567,Chưa Xác Thực,5 m,6 m,
14,https://batdongsan.com.vn/ban-nha-rieng-duong-le-thuc-hoach-phuong-phu-tho-hoa/ban-1-8m-19-tai-quan-tan-tp-hcm-pr41408975,152 m²,15 tỷ,Tây - Bắc,2 tầng,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán nhà 1/ đường Lê Thúc Hoạch: 8m * 19m tại Phường Phú Thọ Hoà, Quận Tân Phú, TP. HCM","1/6 Đường Lê Thúc Hoạch, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",02/11/2024,12/11/2024,Tin VIP Kim Cương,41408975,Chưa Xác Thực,8 m,8 m,Tây - Bắc
15,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-2-1-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/ban-kdt-2-hoan-thien-5x17-11-ty-6x17-tho-11-ty-7x17-14-5-ty-7x19-14-5-pr24592105,100 m²,"17,9 tỷ",Tây - Nam,6 tầng,6 phòng,6 phòng,Đã có sổ hồng.,Đầy đủ.,"Vạn Phúc City - Bán biệt thự liền kề T11/2024 5x21m 18.8 tỷ thang máy, 7x20m 27tỷ, 9x21 28.5 tỷ","Dự án Khu đô thị Vạn Phúc City, Đường 2, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",02/11/2024,09/11/2024,Tin VIP Kim Cương,24592105,Chưa Xác Thực,5 m,16 m,
16,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/ban-9-2024-gia-tot-t-5x20m-gia-16-5-ty-7x20m-gia-26-5-ty-shophouse-26-ty-pr40833403,180 m²,"28,5 tỷ",,,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,"Bán nhà Vạn Phúc City 11/2024. Giá tốt nhất: 5x21m giá 18 tỷ, 9x20m giá 28,5 tỷ nhà thô sổ hồng","Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",02/11/2024,09/11/2024,Tin VIP Kim Cương,40833403,Chưa Xác Thực,5 m,,
17,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-long-thanh-my-prj-the-manhattan-vinhomes-grand-park/ban-vip-khu-compound-phan-khu-mahattan-glory-gia-re-nhat-pr41131385,300 m²,52 tỷ,Đông - Nam,3 tầng,5 phòng,4 phòng,Hợp đồng mua bán,Nội thất Luxury.,Bán lỗ hơn 20tỷ căn biệt thự đã hoàn thiện trong khu Compound VIP đẳng cấp nhất Vinhomes Grand Park,"Dự án The Manhattan, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",02/11/2024,09/11/2024,Tin VIP Kim Cương,41131385,Chưa Xác Thực,10 m,24 m,Đông - Nam
18,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-duy-trinh-phuong-truong-thanh-prj-khu-do-thi-moi-dong-tang-long/ban-gap-12-can-quan-9-chi-6-8-10-5-38-ty-gia-c-100-1000m2-11-2024-pr41383093,160 m²,"8,5 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Bán gấp 12 căn biệt thự Đông Tăng Long Quận 9 chỉ 6,8-10,5-38 tỷ (giá thực) 100-1000m2 11/2024","Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",01/11/2024,16/11/2024,Tin VIP Kim Cương,41383093,Chưa Xác Thực,,,
19,https://batdongsan.com.vn/ban-nha-mat-pho-duong-lac-long-quan-phuong-10-10/ha-kich-gia-toa-tm-can-ho-dv-tai-541-xay-moi-hoan-cong-2024-day-du-pccc-1-ham-6lau-pr41389245,167 m²,57 tỷ,,7 tầng,,,,,"Hạ kịch giá tòa TM căn hộ DV tại 541 Lạc Long Quân. Xây mới hoàn công 2024, đầy đủ PCCC, 1 hầm 6lầu","Đường Lạc Long Quân, Phường 10, Tân Bình, Hồ Chí Minh",01/11/2024,11/11/2024,Tin VIP Kim Cương,41389245,Chưa Xác Thực,,,
20,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-chieu-phuong-14-8/-pho-dep-p-14-q-go-vapgia-5-ty-dt-4-x-16-tret-lau-3-phong-ngu-pr41387389,64 m²,"5,3 tỷ",Nam,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Nhà phố đẹp đường Phạm Văn Chiêu, P. 14 Q Gò Vấp, giá 5 tỷ x. DT: 4 x 16m trệt lầu 3 phòng ngủ","Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",01/11/2024,08/11/2024,Tin VIP Kim Cương,41387389,Chưa Xác Thực,,5 m,
21,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-tho-phuong-16-3/chinh-can-ban-gap-532-40-p16-go-vap-lien-he-chi-lien-xem-pr41384003,80 m²,"8,8 tỷ",,2 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Chính cần bán gấp nhà 532/40 Lê Văn Thọ, P.16, Gò Vấp. Liên hệ Chị Liên 0921 720 *** xem nhà","532/40, Đường Lê Văn Thọ, Phường 16, Gò Vấp, Hồ Chí Minh",31/10/2024,10/11/2024,Tin VIP Kim Cương,41384003,Chưa Xác Thực,6 m,,
22,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-van-thu-phuong-da-kao/ban-toa-3-thoang-9-11-quan-1-thanh-ho-chi-minh-pr41381317,"144,7 m²",105 tỷ,Tây - Bắc,9 tầng,,,Pháp lý: Sổ hồng.,,"Bán tòa nhà 3 mặt thoáng 9 - 11 Nguyễn Văn Thủ, phường Đa Kao, Quận 1, thành phố Hồ Chí Minh","Số 9 - 11, Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Hồ Chí Minh",31/10/2024,10/11/2024,Tin VIP Kim Cương,41381317,Chưa Xác Thực,"8,3 m",,
